text,url
Report from Government Operations Committee,https://cityclerk.lacity.org/onlinedocs/2020/20-1533_rpt_GO_2-14-23.pdf
Report from General Services Department,https://cityclerk.lacity.org/onlinedocs/2020/20-1533_misc_2-3-23.pdf
"Report from Information, Technology, and General Services Committee",https://cityclerk.lacity.org/onlinedocs/2020/20-1533_rpt_itgs_12-1-22.pdf
Report from Municipal Facilities Committee (CHIRLA),https://cityclerk.lacity.org/onlinedocs/2020/20-1533_misc_11-16-22.pdf
Report from Municipal Facilities Committee (CRCD),https://cityclerk.lacity.org/onlinedocs/2020/20-1533_rpt_mfc_11-16-22.pdf
Motion,https://cityclerk.lacity.org/onlinedocs/2020/20-1533_mot_11-24-2020.pdf
