text,url
Mayor Concurrence/Council Action,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_misc_5-31-22.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_hp_5-12-22.pdf
Report from Homeless Strategy Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_cao_04-25-2022.pdf
Mayor Concurrence/Council Action,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_CAF_6-29-21.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_hp_6-24-21.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_cao_6-17-21.pdf
Mayor Concurrence/Council Action,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_CAF_4-7-21.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_hp_3-25-21.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_cao_03-18-2021.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_hp_2-25-21.pdf
Amended Recommendations for City Administrative Officer Report dated 2/18/21,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_misc_02-25-2021.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_02-18-2021.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_hp_12-10-20.pdf
Revised Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_11-20-2020.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_11-19-2020.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_11-17-2020.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_hp_8-27-20.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_08-14-2020.pdf
Report from Homeless Strategy Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_08-04-2020.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_06-02-2020.pdf
Report from Chief Legislative Analyst,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CLA_04-03-2020.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_03-12-2020.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_hp_12-4-19signed.pdf
Report from City Administrative Officer,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_12-4-2019.pdf
Report from Homeless Strategy Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_CAO_11-15-2019.pdf
Motion,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_misc_11-13-2019.pdf
Report from Homelessness and Poverty Committee,https://cityclerk.lacity.org/onlinedocs/2018/18-0628_rpt_hp_8-7-19.pdf
